(84, 'Australia', 'India', '2003-03-23', 'Australia', False, 'ICC World Cup', 'Final')
(85, 'Sri Lanka', 'Australia', '2003-01-09', 'Sri Lanka', True, 'VB Series', 'Unknown')
(86, 'Australia', 'England', '2003-01-11', 'Australia', False, 'VB Series', 'Unknown')
(87, 'Sri Lanka', 'England', '2003-01-13', 'Sri Lanka', False, 'VB Series', 'Unknown')
(88, 'Sri Lanka', 'Australia', '2003-01-15', 'Australia', False, 'VB Series', 'Unknown')
(89, 'England', 'Sri Lanka', '2003-01-17', 'England', False, 'VB Series', 'Unknown')
(90, 'England', 'Australia', '2003-01-19', 'Australia', False, 'VB Series', 'Unknown')
(91, 'Sri Lanka', 'Australia', '2003-01-21', 'Australia', False, 'VB Series', 'Unknown')
(92, 'England', 'Australia', '2003-01-23', 'Australia', False, 'VB Series', 'Final')
(93, 'Australia', 'England', '2003-01-25', 'Australia', False, 'VB Series', 'Final')
(94, 'Pakistan', 'Zimbabwe', '2003-04-03', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(95, 'Sri Lanka', 'Pakistan', '2003-04-04', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(96, 'Kenya', 'Zimbabwe', '2003-04-05', 'Zimbabwe', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(97, 'Sri Lanka', 'Kenya', '2003-04-06', 'Sri Lanka', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(98, 'Sri Lanka', 'Zimbabwe', '2003-04-07', 'Zimbabwe', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(99, 'Pakistan', 'Kenya', '2003-04-08', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Unknown')
(100, 'Zimbabwe', 'Pakistan', '2003-04-10', 'Pakistan', False, 'Cherry Blossom Sharjah Cup', 'Final')
(101, 'England', 'Zimbabwe', '2003-06-26', 'Zimbabwe', True, 'NatWest Series', 'Unknown')
(102, 'South Africa', 'England', '2003-06-28', 'England', False, 'NatWest Series', 'Unknown')
(103, 'South Africa', 'Zimbabwe', '2003-06-29', 'South Africa', False, 'NatWest Series', 'Unknown')
(104, 'England', 'Zimbabwe', '2003-07-01', None, False, 'NatWest Series', 'Unknown')
(105, 'England', 'South Africa', '2003-07-03', 'South Africa', True, 'NatWest Series', 'Unknown')
(106, 'Zimbabwe', 'England', '2003-07-06', 'England', False, 'NatWest Series', 'Unknown')
(107, 'Zimbabwe', 'South Africa', '2003-07-10', 'South Africa', False, 'NatWest Series', 'Unknown')
(108, 'South Africa', 'England', '2003-07-12', 'England', False, 'NatWest Series', 'Final')
(109, 'India', 'South Africa', '2003-04-21', None, False, 'TVS Cup (Bangladesh)', 'Final')
(110, 'Pakistan', 'Sri Lanka', '2003-05-10', 'Pakistan', True, 'Bank Alfalah Cup', 'Unknown')
(111, 'Pakistan', 'New Zealand', '2003-05-11', 'New Zealand', False, 'Bank Alfalah Cup', 'Unknown')
(112, 'New Zealand', 'Sri Lanka', '2003-05-19', 'New Zealand', True, 'Bank Alfalah Cup', 'Unknown')
(113, 'Pakistan', 'New Zealand', '2003-05-23', 'New Zealand', False, 'Bank Alfalah Cup', 'Final')
(114, 'India', 'New Zealand', '2003-10-23', None, False, 'TVS Cup (India)', 'Unknown')
(115, 'India', 'Australia', '2003-10-26', 'India', False, 'TVS Cup (India)', 'Unknown')
(116, 'New Zealand', 'Australia', '2003-10-29', 'Australia', False, 'TVS Cup (India)', 'Unknown')
(117, 'Australia', 'India', '2003-11-01', 'Australia', True, 'TVS Cup (India)', 'Unknown')
(118, 'New Zealand', 'Australia', '2003-11-03', 'Australia', False, 'TVS Cup (India)', 'Unknown')
(119, 'India', 'New Zealand', '2003-11-06', 'New Zealand', True, 'TVS Cup (India)', 'Unknown')
(120, 'India', 'New Zealand', '2003-11-15', 'India', False, 'TVS Cup (India)', 'Unknown')
(121, 'Pakistan', 'New Zealand', '2004-01-03', 'New Zealand', False, 'Pakistan tour of New Zealand', 'Unknown')
(122, 'South Africa', 'West Indies', '2004-01-25', 'South Africa', False, 'West Indies tour of South Africa', 'Unknown')
(123, 'West Indies', 'South Africa', '2004-01-30', None, False, 'West Indies tour of South Africa', 'Unknown')
(124, 'South Africa', 'West Indies', '2004-02-01', 'West Indies', True, 'West Indies tour of South Africa', 'Unknown')
(125, 'Australia', 'Sri Lanka', '2004-02-20', 'Australia', True, 'Australia tour of Sri Lanka', 'Unknown')
(126, 'Sri Lanka', 'Australia', '2004-02-22', 'Sri Lanka', False, 'Australia tour of Sri Lanka', 'Unknown')
(127, 'South Africa', 'New Zealand', '2004-02-25', 'New Zealand', False, 'South Africa tour of New Zealand', 'Unknown')
(128, 'Australia', 'Sri Lanka', '2004-02-27', 'Australia', True, 'Australia tour of Sri Lanka', 'Unknown')
(129, 'Bangladesh', 'Zimbabwe', '2004-03-14', 'Zimbabwe', False, 'Bangladesh tour of Zimbabwe', 'Unknown')
(130, 'Pakistan', 'India', '2004-03-16', 'Pakistan', False, 'India tour of Pakistan', 'Unknown')
(131, 'India', 'Pakistan', '2004-03-19', 'Pakistan', False, 'India tour of Pakistan', 'Unknown')
(132, 'Pakistan', 'India', '2004-03-21', 'India', True, 'India tour of Pakistan', 'Unknown')
(133, 'India', 'Pakistan', '2004-03-24', 'India', True, 'India tour of Pakistan', 'Unknown')
(134, 'Zimbabwe', 'Sri Lanka', '2004-04-20', 'Sri Lanka', True, 'Sri Lanka tour of Zimbabwe', 'Unknown')
(135, 'West Indies', 'England', '2004-04-24', None, False, 'England tour of West Indies', 'Unknown')
(136, 'Sri Lanka', 'Zimbabwe', '2004-04-27', 'Sri Lanka', True, 'Sri Lanka tour of Zimbabwe', 'Unknown')
(137, 'England', 'West Indies', '2004-05-02', 'West Indies', False, 'England tour of West Indies', 'Unknown')
(138, 'Bangladesh', 'West Indies', '2004-05-15', 'West Indies', False, 'Bangladesh tour of West Indies', 'Unknown')
(139, 'West Indies', 'Bangladesh', '2004-05-16', 'West Indies', False, 'Bangladesh tour of West Indies', 'Unknown')
(140, 'Bangladesh', 'West Indies', '2004-05-19', 'West Indies', False, 'Bangladesh tour of West Indies', 'Unknown')
(141, 'Zimbabwe', 'Australia', '2004-05-25', 'Australia', True, 'Australia tour of Zimbabwe', 'Unknown')
(142, 'Australia', 'Zimbabwe', '2004-05-27', 'Australia', True, 'Australia tour of Zimbabwe', 'Unknown')
(143, 'Zimbabwe', 'Australia', '2004-05-29', 'Australia', True, 'Australia tour of Zimbabwe', 'Unknown')
(144, 'South Africa', 'Sri Lanka', '2004-08-28', 'Sri Lanka', False, 'South Africa tour of Sri Lanka', 'Unknown')
(145, 'Sri Lanka', 'South Africa', '2004-08-31', 'Sri Lanka', False, 'South Africa tour of Sri Lanka', 'Unknown')
(146, 'New Zealand', 'Bangladesh', '2004-11-02', 'New Zealand', True, 'New Zealand tour of Bangladesh', 'Unknown')
(147, 'Zimbabwe', 'England', '2004-11-28', 'England', True, 'England tour of Zimbabwe', 'Unknown')
(148, 'England', 'Zimbabwe', '2004-12-01', 'England', True, 'England tour of Zimbabwe', 'Unknown')
(149, 'England', 'Zimbabwe', '2004-12-05', 'England', True, 'England tour of Zimbabwe', 'Unknown')
(150, 'India', 'Bangladesh', '2004-12-23', 'India', True, 'India tour of Bangladesh', 'Unknown')
(151, 'India', 'Bangladesh', '2004-12-27', 'India', True, 'India tour of Bangladesh', 'Unknown')
(152, 'India', 'England', '2004-09-01', 'England', False, 'India tour of England', 'Unknown')
(153, 'England', 'India', '2004-09-03', 'England', False, 'India tour of England', 'Unknown')
(154, 'India', 'England', '2004-09-05', 'India', True, 'India tour of England', 'Unknown')
(155, 'Australia', 'India', '2004-01-09', 'Australia', False, 'VB Series', 'Unknown')
(156, 'Australia', 'Zimbabwe', '2004-01-11', 'Australia', False, 'VB Series', 'Unknown')
(157, 'Zimbabwe', 'India', '2004-01-14', 'India', False, 'VB Series', 'Unknown')
(158, 'Australia', 'Zimbabwe', '2004-01-16', 'Australia', False, 'VB Series', 'Unknown')
(159, 'India', 'Australia', '2004-01-18', 'India', True, 'VB Series', 'Unknown')
(160, 'India', 'Zimbabwe', '2004-01-20', 'India', False, 'VB Series', 'Unknown')
(161, 'India', 'Australia', '2004-01-22', 'Australia', False, 'VB Series', 'Unknown')
(162, 'Australia', 'Zimbabwe', '2004-01-29', None, False, 'VB Series', 'Unknown')
(163, 'India', 'Australia', '2004-02-01', 'Australia', False, 'VB Series', 'Unknown')
(164, 'India', 'Australia', '2004-02-06', 'Australia', False, 'VB Series', 'Final')
(165, 'Australia', 'India', '2004-02-08', 'Australia', False, 'VB Series', 'Final')
(166, 'Pakistan', 'Bangladesh', '2004-07-17', 'Pakistan', False, 'Asia Cup', 'Unknown')
(167, 'Pakistan', 'Sri Lanka', '2004-07-21', 'Sri Lanka', False, 'Asia Cup', 'Unknown')
(168, 'Bangladesh', 'Sri Lanka', '2004-07-23', 'Sri Lanka', False, 'Asia Cup', 'Unknown')
(169, 'India', 'Sri Lanka', '2004-07-27', 'India', True, 'Asia Cup', 'Unknown')
(170, 'Sri Lanka', 'India', '2004-08-01', 'Sri Lanka', False, 'Asia Cup', 'Final')
(171, 'England', 'Zimbabwe', '2004-09-10', 'England', False, 'ICC Champions Trophy', 'Unknown')
(172, 'New Zealand', 'United States of America', '2004-09-10', 'New Zealand', False, 'ICC Champions Trophy', 'Unknown')
(173, 'India', 'Kenya', '2004-09-11', 'India', False, 'ICC Champions Trophy', 'Unknown')
(174, 'United States of America', 'Australia', '2004-09-13', 'Australia', False, 'ICC Champions Trophy', 'Unknown')
(175, 'Zimbabwe', 'Sri Lanka', '2004-09-14', 'Sri Lanka', False, 'ICC Champions Trophy', 'Unknown')
(176, 'Kenya', 'Pakistan', '2004-09-14', 'Pakistan', False, 'ICC Champions Trophy', 'Unknown')
(177, 'West Indies', 'Bangladesh', '2004-09-15', 'West Indies', False, 'ICC Champions Trophy', 'Unknown')
(178, 'New Zealand', 'Australia', '2004-09-16', 'Australia', False, 'ICC Champions Trophy', 'Unknown')
(179, 'England', 'Sri Lanka', '2004-09-17', 'England', False, 'ICC Champions Trophy', 'Unknown')
(180, 'South Africa', 'West Indies', '2004-09-18', 'West Indies', False, 'ICC Champions Trophy', 'Unknown')
(181, 'India', 'Pakistan', '2004-09-19', 'Pakistan', False, 'ICC Champions Trophy', 'Unknown')
(182, 'Australia', 'England', '2004-09-21', 'England', False, 'ICC Champions Trophy', 'Semi Final')
(183, 'Pakistan', 'West Indies', '2004-09-22', 'West Indies', False, 'ICC Champions Trophy', 'Semi Final')
(184, 'England', 'West Indies', '2004-09-25', 'West Indies', True, 'ICC Champions Trophy', 'Final')
(185, 'England', 'West Indies', '2004-06-27', 'West Indies', True, 'NatWest Series', 'Unknown')
(186, 'England', 'New Zealand', '2004-06-29', 'New Zealand', True, 'NatWest Series', 'Unknown')
(187, 'West Indies', 'England', '2004-07-01', 'England', False, 'NatWest Series', 'Unknown')
(188, 'England', 'West Indies', '2004-07-06', 'West Indies', True, 'NatWest Series', 'Unknown')
(189, 'New Zealand', 'West Indies', '2004-07-10', 'New Zealand', False, 'NatWest Series', 'Final')
(190, 'Pakistan', 'India', '2004-08-21', 'Pakistan', False, 'Videocon Cup', 'Unknown')
(191, 'Australia', 'India', '2004-08-23', None, False, 'Videocon Cup', 'Unknown')
(192, 'Australia', 'Pakistan', '2004-09-04', 'Australia', False, 'Pakistan tour of England', 'Unknown')
(193, 'Pakistan', 'Zimbabwe', '2004-09-30', 'Pakistan', False, 'Paktel Cup', 'Unknown')
(194, 'Zimbabwe', 'Pakistan', '2004-10-03', 'Pakistan', False, 'Paktel Cup', 'Unknown')
(195, 'Sri Lanka', 'Pakistan', '2004-10-06', 'Pakistan', False, 'Paktel Cup', 'Unknown')
(196, 'Zimbabwe', 'Sri Lanka', '2004-10-09', 'Sri Lanka', False, 'Paktel Cup', 'Unknown')
(197, 'Sri Lanka', 'Pakistan', '2004-10-16', 'Sri Lanka', True, 'Paktel Cup', 'Final')
(198, 'Australia', 'New Zealand', '2004-12-05', 'New Zealand', True, 'New Zealand tour of Australia', 'Unknown')
(199, 'Australia', 'New Zealand', '2004-12-08', 'Australia', False, 'New Zealand tour of Australia', 'Unknown')
(200, 'West Indies', 'South Africa', '2005-05-08', 'South Africa', True, 'South Africa tour of West Indies', 'Unknown')
(201, 'West Indies', 'South Africa', '2005-05-15', 'South Africa', True, 'South Africa tour of West Indies', 'Unknown')
(202, 'Pakistan', 'West Indies', '2005-05-18', 'Pakistan', False, 'Pakistan tour of West Indies', 'Unknown')
(203, 'Pakistan', 'West Indies', '2005-05-22', 'Pakistan', True, 'Pakistan tour of West Indies', 'Unknown')
(204, 'Bangladesh', 'England', '2005-06-16', 'England', False, 'NatWest Challenge', 'Unknown')
(205, 'Australia', 'Bangladesh', '2005-06-18', 'Bangladesh', False, 'NatWest Challenge', 'Unknown')
(206, 'Australia', 'England', '2005-06-23', 'Australia', True, 'NatWest Challenge', 'Unknown')
(207, 'Bangladesh', 'Australia', '2005-06-25', 'Australia', False, 'NatWest Challenge', 'Unknown')
(208, 'Bangladesh', 'England', '2005-06-26', 'England', False, 'NatWest Challenge', 'Unknown')
(209, 'Australia', 'England', '2005-06-28', None, False, 'NatWest Challenge', 'Unknown')
(210, 'Bangladesh', 'Australia', '2005-06-30', 'Australia', False, 'NatWest Challenge', 'Unknown')
(211, 'Australia', 'England', '2005-07-02', None, False, 'NatWest Challenge', 'Final')
(212, 'England', 'Australia', '2005-07-12', 'Australia', True, 'Australia tour of England and Scotland', 'Unknown')
(213, 'West Indies', 'India', '2005-07-31', 'India', False, 'Indian Oil Cup', 'Unknown')
(214, 'Sri Lanka', 'West Indies', '2005-08-02', 'Sri Lanka', False, 'Indian Oil Cup', 'Unknown')
(215, 'West Indies', 'Sri Lanka', '2005-08-06', 'West Indies', True, 'Indian Oil Cup', 'Unknown')
(216, 'India', 'Zimbabwe', '2005-08-29', 'India', False, 'Videocon Triangular Series', 'Unknown')
(217, 'Sri Lanka', 'Bangladesh', '2005-08-31', 'Sri Lanka', False, 'Bangladesh tour of Sri Lanka', 'Unknown')
(218, 'New Zealand', 'Zimbabwe', '2005-08-31', 'New Zealand', False, 'Videocon Triangular Series', 'Unknown')
(219, 'Zimbabwe', 'India', '2005-09-04', 'India', False, 'Videocon Triangular Series', 'Unknown')
(220, 'India', 'New Zealand', '2005-09-06', 'New Zealand', False, 'Videocon Triangular Series', 'Final')
(221, 'India', 'Sri Lanka', '2005-10-25', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(222, 'Sri Lanka', 'India', '2005-10-28', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(223, 'South Africa', 'New Zealand', '2005-10-28', 'South Africa', False, 'New Zealand tour of South Africa', 'Unknown')
(224, 'New Zealand', 'South Africa', '2005-10-30', 'South Africa', False, 'New Zealand tour of South Africa', 'Unknown')
(225, 'Sri Lanka', 'India', '2005-11-03', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(226, 'South Africa', 'New Zealand', '2005-11-04', None, False, 'New Zealand tour of South Africa', 'Unknown')
(227, 'New Zealand', 'South Africa', '2005-11-06', 'South Africa', False, 'New Zealand tour of South Africa', 'Unknown')
(228, 'India', 'Sri Lanka', '2005-11-06', 'Sri Lanka', True, 'Sri Lanka tour of India', 'Unknown')
(229, 'Sri Lanka', 'India', '2005-11-09', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(230, 'Sri Lanka', 'India', '2005-11-12', 'India', False, 'Sri Lanka tour of India', 'Unknown')
(231, 'India', 'South Africa', '2005-11-16', 'South Africa', False, 'South Africa tour of India', 'Unknown')
(232, 'England', 'Pakistan', '2005-12-10', 'England', True, 'England tour of Pakistan', 'Unknown')
(233, 'Pakistan', 'England', '2005-12-15', 'Pakistan', False, 'England tour of Pakistan', 'Unknown')
(234, 'England', 'Pakistan', '2005-12-21', 'England', False, 'England tour of Pakistan', 'Unknown')
(235, 'South Africa', 'India', '2005-11-28', 'India', False, 'South Africa tour of India', 'Unknown')
(236, 'Australia', 'New Zealand', '2005-12-03', 'Australia', False, 'Australia tour of New Zealand', 'Unknown')
(237, 'Sri Lanka', 'New Zealand', '2005-12-31', 'New Zealand', False, 'Sri Lanka tour of New Zealand', 'Unknown')
(238, 'Zimbabwe', 'Bangladesh', '2005-01-24', 'Zimbabwe', True, 'Zimbabwe tour of Bangladesh', 'Unknown')
(239, 'South Africa', 'England', '2005-01-30', 'England', True, 'England tour of South Africa', 'Unknown')
(240, 'Zimbabwe', 'Bangladesh', '2005-01-31', 'Bangladesh', False, 'Zimbabwe tour of Bangladesh', 'Unknown')
(241, 'England', 'South Africa', '2005-02-02', None, False, 'England tour of South Africa', 'Unknown')
(242, 'England', 'South Africa', '2005-02-04', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(243, 'South Africa', 'England', '2005-02-06', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(244, 'South Africa', 'England', '2005-02-09', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(245, 'South Africa', 'England', '2005-02-11', None, False, 'England tour of South Africa', 'Unknown')
(246, 'England', 'South Africa', '2005-02-13', 'South Africa', False, 'England tour of South Africa', 'Unknown')
(247, 'South Africa', 'Zimbabwe', '2005-02-25', 'South Africa', False, 'Zimbabwe tour of South Africa', 'Unknown')
(248, 'Australia', 'New Zealand', '2005-02-26', 'Australia', False, 'Australia tour of New Zealand', 'Unknown')
(249, 'South Africa', 'Zimbabwe', '2005-02-27', 'South Africa', False, 'Zimbabwe tour of South Africa', 'Unknown')
(250, 'New Zealand', 'Australia', '2005-03-01', 'Australia', False, 'Australia tour of New Zealand', 'Unknown')
(251, 'Zimbabwe', 'South Africa', '2005-03-02', 'South Africa', False, 'Zimbabwe tour of South Africa', 'Unknown')
(252, 'India', 'Pakistan', '2005-04-05', 'India', False, 'Pakistan tour of India', 'Unknown')
(253, 'India', 'Pakistan', '2005-04-12', 'Pakistan', True, 'Pakistan tour of India', 'Unknown')
(254, 'India', 'Pakistan', '2005-04-15', 'Pakistan', False, 'Pakistan tour of India', 'Unknown')
(255, 'Pakistan', 'India', '2005-04-17', 'Pakistan', True, 'Pakistan tour of India', 'Unknown')
(256, 'West Indies', 'Pakistan', '2005-01-19', 'Pakistan', False, 'VB Series', 'Unknown')
(257, 'West Indies', 'Australia', '2005-01-21', None, False, 'VB Series', 'Unknown')
(258, 'Pakistan', 'Australia', '2005-01-23', 'Australia', False, 'VB Series', 'Unknown')
(259, 'Australia', 'West Indies', '2005-01-26', 'Australia', False, 'VB Series', 'Unknown')
(260, 'Australia', 'Pakistan', '2005-01-30', 'Pakistan', True, 'VB Series', 'Unknown')
